startdate	 starttime	 price	 pricecolor	 availability	 departure	 destination	 distance	 kmpereuro	 duration	
2016-05-19 	 14:00 	 15 	 price-green 	 3 	 Zürich 	 München 	 307622 	 20 	 3
2016-05-19 	 14:30 	 3 	 price-red 	 3 	 Zürich 	 Winterthur 	 23833 	 7 	 0
2016-05-19 	 15:00 	 2 	 price-green 	 1 	 Zürich 	 Basel 	 82244 	 41 	 0
2016-05-19 	 15:00 	 6 	 price-red 	 4 	 Zürich 	 Basel 	 85919 	 14 	 1
2016-05-19 	 15:00 	 22 	 price-red 	 3 	 Zürich 	 München 	 310475 	 14 	 3
2016-05-19 	 15:30 	 28 	 price-green 	 1 	 Dielsdorf 	 Köln 	 564620 	 20 	 5
2016-05-19 	 15:50 	 3 	 price-red 	 3 	 Zürich 	 Frauenfeld 	 43507 	 14 	 0
2016-05-19 	 16:00 	 6 	 price-red 	 4 	 Zürich 	 Basel 	 87139 	 14 	 1
2016-05-19 	 16:00 	 27 	 price-red 	 2 	 Zürich 	 Nürnberg 	 422170 	 15 	 4
2016-05-19 	 16:20 	 1 	 price-green 	 1 	 Zürich 	 Winterthur 	 23833 	 23 	 0
2016-05-19 	 16:20 	 5 	 price-orange 	 3 	 Zürich 	 Basel 	 82532 	 16 	 0
2016-05-19 	 17:00 	 1 	 price-red 	 3 	 Fällanden 	 Maur 	 2889 	 2 	 0
2016-05-19 	 17:00 	 9 	 price-red 	 3 	 Dietikon 	 Freiburg Im Breisgau 	 141134 	 15 	 1
2016-05-19 	 17:00 	 20 	 price-red 	 Ausgebucht 	 Zürich 	 München 	 307411 	 15 	 3
2016-05-19 	 17:00 	 28 	 price-red 	 3 	 Zürich 	 Frankfurt am Main 	 403767 	 14 	 4
2016-05-19 	 17:00 	 1 	 price-green 	 3 	 Zürich 	 Wangen-Brüttisellen 	 24867 	 24 	 0
2016-05-19 	 17:10 	 8 	 price-orange 	 Ausgebucht 	 Zürich 	 Lustenau 	 116697 	 14 	 1
2016-05-19 	 17:20 	 5 	 price-green 	 Ausgebucht 	 Zürich 	 Zuchwil 	 90436 	 18 	 1
2016-05-19 	 17:30 	 30 	 price-green 	 2 	 Zürich 	 Sangerhausen 	 624456 	 20 	 5
2016-05-19 	 17:30 	 35 	 price-orange 	 3 	 Zürich 	 Leipzig 	 682022 	 19 	 6
2016-05-19 	 18:00 	 16 	 price-green 	 1 	 Zürich 	 Neustadt an der Weinstraße 	 324010 	 20 	 3
2016-05-19 	 18:00 	 19 	 price-red 	 2 	 Zürich 	 Karlsruhe 	 274469 	 14 	 2
2016-05-19 	 18:00 	 28 	 price-orange 	 2 	 Zürich 	 Salzburg 	 451481 	 16 	 4
2016-05-19 	 18:00 	 55 	 price-orange 	 Ausgebucht 	 Zürich 	 Budapest 	 990250 	 18 	 9
2016-05-19 	 18:30 	 14 	 price-red 	 3 	 Zürich 	 Stuttgart 	 216700 	 15 	 2
2016-05-19 	 19:00 	 18 	 price-red 	 3 	 Zürich 	 Ulm 	 247119 	 13 	 2
2016-05-19 	 19:00 	 25 	 price-orange 	 2 	 Zürich 	 Frankfurt am Main 	 410143 	 16 	 3
2016-05-19 	 19:00 	 48 	 price-green 	 2 	 Zürich 	 Budapest 	 990528 	 20 	 9
2016-05-19 	 19:10 	 8 	 price-orange 	 3 	 Zürich 	 Lindau (Bodensee) 	 138849 	 17 	 1
2016-05-19 	 19:10 	 28 	 price-green 	 3 	 Zürich 	 Köln 	 565800 	 20 	 5
2016-05-19 	 19:30 	 25 	 price-orange 	 Ausgebucht 	 Zürich 	 Kronberg im Taunus 	 419182 	 16 	 4
2016-05-19 	 21:20 	 15 	 price-green 	 3 	 Zürich 	 München 	 310475 	 20 	 3
2016-05-19 	 22:00 	 5 	 price-orange 	 3 	 Zürich 	 Basel 	 82532 	 16 	 0
2016-05-19 	 22:10 	 1 	 price-green 	 3 	 Zürich 	 Winterthur 	 23833 	 23 	 0
2016-05-20 	 01:00 	 27 	 price-red 	 3 	 Zürich 	 Nürnberg 	 419496 	 15 	 4
2016-05-20 	 03:00 	 5 	 price-orange 	 3 	 Zürich 	 Basel 	 87139 	 17 	 1
2016-05-20 	 05:00 	 15 	 price-orange 	 3 	 Zürich 	 Chum 	 234733 	 15 	 2
2016-05-20 	 06:00 	 16 	 price-orange 	 3 	 Zürich 	 München 	 310475 	 19 	 3
2016-05-20 	 06:00 	 10 	 price-green 	 1 	 Zürich 	 Stuttgart 	 217049 	 21 	 2
2016-05-20 	 06:40 	 2 	 price-red 	 3 	 Zürich 	 Baden 	 23699 	 11 	 0
2016-05-20 	 07:10 	 1 	 price-red 	 3 	 Maur 	 Fällanden 	 2890 	 2 	 0
2016-05-20 	 07:30 	 3 	 price-red 	 2 	 Zürich 	 Frauenfeld 	 43698 	 14 	 0
2016-05-20 	 08:00 	 25 	 price-orange 	 Ausgebucht 	 Zürich 	 Frankfurt am Main 	 403767 	 16 	 4
2016-05-20 	 08:20 	 35 	 price-orange 	 3 	 Zürich 	 Leipzig 	 685304 	 19 	 6
2016-05-20 	 09:00 	 40 	 price-green 	 1 	 Zürich 	 Amsterdam 	 811745 	 20 	 7
2016-05-20 	 09:30 	 13 	 price-green 	 2 	 Zürich 	 Mailand 	 280099 	 21 	 3
2016-05-20 	 10:10 	 2 	 price-green 	 3 	 Zürich 	 Aarau 	 46164 	 23 	 0
2016-05-20 	 10:30 	 3 	 price-orange 	 3 	 Zürich 	 Schaffhausen 	 51873 	 17 	 0
2016-05-20 	 11:20 	 17 	 price-orange 	 3 	 Zürich 	 Genève 	 276274 	 16 	 2
2016-05-20 	 11:30 	 15 	 price-red 	 2 	 Zürich 	 Stuttgart 	 216700 	 14 	 2
2016-05-20 	 12:00 	 5 	 price-orange 	 Ausgebucht 	 Zürich 	 Basel 	 86851 	 17 	 1
2016-05-20 	 12:00 	 20 	 price-orange 	 2 	 Zürich 	 Neustadt an der Weinstraße 	 324010 	 16 	 3
2016-05-20 	 12:00 	 22 	 price-orange 	 3 	 Zürich 	 Bad Reichenhall 	 438897 	 19 	 4
2016-05-20 	 12:00 	 50 	 price-orange 	 2 	 Zürich 	 Berlin 	 843994 	 16 	 7
2016-05-20 	 12:20 	 35 	 price-red 	 2 	 Zürich 	 Erfurt 	 558829 	 15 	 5
2016-05-20 	 12:30 	 6 	 price-red 	 3 	 Zürich 	 Sankt Gallen 	 86215 	 14 	 0
2016-05-20 	 13:00 	 5 	 price-orange 	 2 	 Zürich 	 Basel 	 83469 	 16 	 1
2016-05-20 	 13:00 	 9 	 price-green 	 3 	 Zürich 	 Tübingen 	 189965 	 21 	 2
2016-05-20 	 13:00 	 10 	 price-green 	 3 	 Kloten 	 Stuttgart 	 216155 	 21 	 2
2016-05-20 	 13:00 	 20 	 price-red 	 4 	 Schwerzenbach 	 München 	 298626 	 14 	 3
2016-05-20 	 13:10 	 3 	 price-green 	 3 	 Zürich 	 Konstanz 	 70396 	 23 	 0
2016-05-20 	 13:30 	 40 	 price-red 	 2 	 Zürich 	 Bonn 	 549081 	 13 	 5
2016-05-20 	 13:50 	 3 	 price-orange 	 4 	 Zürich 	 Schaffhausen 	 51873 	 17 	 0
2016-05-20 	 14:20 	 9 	 price-red 	 3 	 Zürich 	 Lindau (Bodensee) 	 131567 	 14 	 1
2016-05-20 	 14:30 	 5 	 price-orange 	 3 	 Zürich 	 Sankt Gallen 	 86215 	 17 	 0
2016-05-20 	 15:00 	 18 	 price-orange 	 3 	 Greifensee 	 Landau in der Pfalz 	 307829 	 17 	 3
2016-05-20 	 15:00 	 20 	 price-orange 	 3 	 Zürich 	 Bad Dürkheim 	 335781 	 16 	 3
2016-05-20 	 15:00 	 30 	 price-red 	 1 	 Zürich 	 Frankfurt Am Main 	 400915 	 13 	 3
2016-05-20 	 15:00 	 40 	 price-orange 	 1 	 Zürich 	 Wien 	 741899 	 18 	 7
2016-05-20 	 15:00 	 14 	 price-green 	 4 	 Zürich 	 München 	 310475 	 22 	 3
2016-05-20 	 15:00 	 75 	 price-red 	 2 	 Zürich 	 Trani 	 1121988 	 14 	 10
2016-05-20 	 15:20 	 22 	 price-orange 	 1 	 Zürich 	 Würzburg 	 358738 	 16 	 3
2016-05-20 	 15:30 	 25 	 price-orange 	 2 	 Wallisellen 	 Missian 	 411509 	 16 	 4
2016-05-20 	 15:40 	 4 	 price-orange 	 2 	 Zürich 	 Rheinfelden (Baden) 	 75595 	 18 	 0
2016-05-20 	 15:50 	 3 	 price-red 	 3 	 Zürich 	 Frauenfeld 	 43507 	 14 	 0
2016-05-20 	 16:00 	 11 	 price-orange 	 3 	 Zürich 	 Stuttgart 	 216700 	 19 	 2
2016-05-20 	 16:00 	 13 	 price-orange 	 Ausgebucht 	 Zürich 	 Stuttgart 	 216700 	 16 	 2
2016-05-20 	 16:00 	 20 	 price-orange 	 3 	 Zürich 	 Heidelberg 	 1 	 0 	 999
2016-05-20 	 16:00 	 24 	 price-orange 	 3 	 Zürich 	 Salzburg 	 451481 	 18 	 4
2016-05-20 	 16:00 	 25 	 price-orange 	 3 	 Zürich 	 Nürnberg 	 422170 	 16 	 4
2016-05-20 	 16:00 	 52 	 price-orange 	 3 	 Zürich 	 Budapest 	 990528 	 19 	 9
2016-05-20 	 16:00 	 15 	 price-green 	 3 	 Zürich 	 München 	 310475 	 20 	 3
2016-05-20 	 16:00 	 25 	 price-orange 	 Ausgebucht 	 Kloten 	 Mainz 	 405841 	 16 	 4
2016-05-20 	 16:10 	 15 	 price-red 	 3 	 Zürich 	 Stuttgart 	 218665 	 14 	 2
2016-05-20 	 16:10 	 30 	 price-red 	 2 	 Zürich 	 Karben 	 427165 	 14 	 4
2016-05-20 	 16:20 	 6 	 price-green 	 Ausgebucht 	 Zürich 	 Lustenau 	 117508 	 19 	 1
2016-05-20 	 16:30 	 2 	 price-red 	 Ausgebucht 	 Dietikon 	 Baden 	 19104 	 9 	 0
2016-05-20 	 16:30 	 5 	 price-orange 	 3 	 Zürich 	 Stockach 	 88814 	 17 	 1
2016-05-20 	 16:30 	 9 	 price-red 	 3 	 Zürich 	 Bregenz 	 120928 	 13 	 1
2016-05-20 	 16:30 	 15 	 price-red 	 4 	 Zürich 	 Stuttgart 	 231282 	 15 	 2
2016-05-20 	 16:30 	 18 	 price-orange 	 3 	 Zürich 	 Ludwigshafen am Rhein 	 1 	 0 	 999
2016-05-20 	 16:30 	 21 	 price-orange 	 3 	 Zürich 	 Saarbrücken 	 338603 	 16 	 3
